NIVEL1;NIVEL2;NIVEL3;CATEGORIA;VALOR
PN;Porto Nobre;Vara 6;Norvel Crédito;11
VN;Porto Nobre;Vara 1;Banco Aurora;11
SA;Porto Nobre;Vara 1;Norvel Crédito;11
SA;Porto Nobre;Vara 5;Banco Meridiano;17
SA;Porto Nobre;Vara 2;Banco Aurora;16
VN;Porto Nobre;Vara 5;Banco Vantis;20
SD;Porto Nobre;Vara 1;Banco Meridiano;7
VN;Alto Rubro;Vara 4;Crediluz;19
PN;Porto Nobre;Vara 5;Banco Meridiano;15
LS;Porto Nobre;Vara 3;Banco Cordilheira;14
CV;Porto Nobre;Vara 1;Banco Aurora;17
PN;Porto Nobre;Vara 6;Crediluz;20
TB;Porto Nobre;Vara 5;Banco Meridiano;11
LS;Porto Nobre;Vara 6;Banco Solaris;12
LS;Serra Nova;Vara 5;Norvel Crédito;14
CV;Porto Nobre;Vara 1;Banco Aurora;15
CV;Porto Nobre;Vara 2;Banco Aurora;9
CV;Porto Nobre;Vara 5;Norvel Crédito;20
MR;Vila Aurora;Vara 5;Banco Meridiano;103
SA;Porto Nobre;Vara 2;Banco Solaris;10
SA;Porto Nobre;Vara 1;Banco Aurora;143
VN;Porto Nobre;Vara 4;Banco Cordilheira;23
VN;Vila Aurora;Vara 2;Banco Aurora;14
SA;Vila Aurora;Vara 1;Banco Vantis;10
SD;Porto Nobre;Vara 1;Banco Vantis;7
SA;Porto Nobre;Vara 5;Banco Aurora;11
SA;Porto Nobre;Vara 6;Banco Meridiano;10
SA;Porto Nobre;Vara 4;Banco Meridiano;81
LS;Porto Nobre;Vara 1;Banco Aurora;6
SA;Lagoa Azul;Vara 1;Banco Aurora;12
SA;Porto Nobre;Vara 6;Banco Solaris;12
SA;Porto Nobre;Vara 5;Crediluz;18
MR;Porto Nobre;Vara 1;Banco Meridiano;35
PN;Alto Rubro;Vara 3;Banco Solaris;11
VN;Vila Aurora;Vara 2;Crediluz;20
CV;Porto Nobre;Vara 2;Banco Vantis;15
MR;Porto Nobre;Vara 1;Banco Meridiano;62
VN;Vila Aurora;Vara 3;Crediluz;330
CV;Porto Nobre;Vara 5;Banco Meridiano;22
SA;Santa Elis;Vara 5;Crediluz;28
CV;Porto Nobre;Vara 4;Banco Vantis;23
SA;Pedra Fria;Vara 5;Banco Vantis;13
LS;Barra Limpa;Vara 4;Banco Meridiano;14
PN;Porto Nobre;Vara 1;Banco Meridiano;19
CV;Barra Limpa;Vara 3;Banco Aurora;19
CV;Lagoa Azul;Vara 6;Banco Meridiano;9
CV;Porto Nobre;Vara 2;Banco Vantis;10
PN;Porto Nobre;Vara 3;Banco Aurora;17
SD;Porto Nobre;Vara 4;Banco Vantis;12
VN;Alto Rubro;Vara 3;Banco Vantis;14
PN;Porto Nobre;Vara 1;Banco Aurora;19
SA;Porto Nobre;Vara 5;Banco Vantis;10
CV;Porto Nobre;Vara 1;Banco Vantis;11
VN;Pedra Fria;Vara 6;Crediluz;13
VN;Porto Nobre;Vara 6;Banco Aurora;8
SA;Porto Nobre;Vara 4;Banco Vantis;8
VN;Porto Nobre;Vara 3;Banco Aurora;35
VN;Lagoa Azul;Vara 1;Crediluz;17
MR;Santa Elis;Vara 3;Banco Meridiano;53
VN;Porto Nobre;Vara 2;Banco Aurora;14
TB;Porto Nobre;Vara 6;Banco Aurora;15
MR;Porto Nobre;Vara 4;Banco Meridiano;37
SA;Porto Nobre;Vara 1;Banco Meridiano;17
TB;Lagoa Azul;Vara 3;Norvel Crédito;43
CV;Monte Claro do Vale;Vara 4;Banco Meridiano;13
CV;Porto Nobre;Vara 4;Banco Meridiano;15
VN;Porto Nobre;Vara 5;Banco Meridiano;15
CV;Porto Nobre;Vara 2;Banco Meridiano;9
TB;Porto Nobre;Vara 4;Crediluz;31
VN;Alto Rubro;Vara 1;Banco Aurora;10
SA;Porto Nobre;Vara 5;Crediluz;359
PN;Porto Nobre;Vara 5;Banco Meridiano;8
CV;Porto Nobre;Vara 3;Banco Solaris;11
SA;Porto Nobre;Vara 2;Banco Vantis;10
TB;Porto Nobre;Vara 5;Banco Aurora;154
PN;Cruzeiro Novo;Vara 3;Norvel Crédito;120
LS;Vila Aurora;Vara 1;Banco Vantis;6
VN;Alto Rubro;Vara 1;Banco Meridiano;7
PN;Porto Nobre;Vara 3;Banco Aurora;109
SA;Porto Nobre;Vara 6;Banco Aurora;15
VN;Porto Nobre;Vara 5;Banco Aurora;8
CV;Porto Nobre;Vara 1;Banco Aurora;14
CV;Vila Aurora;Vara 4;Banco Aurora;20
IL;Porto Nobre;Vara 2;Banco Meridiano;11
TB;Porto Nobre;Vara 5;Banco Aurora;10
TB;Porto Nobre;Vara 5;Banco Meridiano;14
MR;Serra Nova;Vara 1;Banco Solaris;37
SD;Porto Nobre;Vara 5;Banco Aurora;14
BC;Porto Nobre;Vara 3;Banco Vantis;6
SA;Porto Nobre;Vara 2;Banco Vantis;131
VN;Cruzeiro Novo;Vara 4;Norvel Crédito;9
LS;Alto Rubro;Vara 2;Banco Solaris;7
MR;Porto Nobre;Vara 4;Banco Solaris;33
SA;Barra Limpa;Vara 2;Banco Aurora;17
TB;Monte Claro do Vale;Vara 5;Banco Aurora;35
VN;Porto Nobre;Vara 4;Banco Meridiano;122
VN;Porto Nobre;Vara 5;Banco Aurora;15
LS;Porto Nobre;Vara 2;Banco Solaris;33
VN;Porto Nobre;Vara 3;Banco Solaris;8
VN;Porto Nobre;Vara 3;Crediluz;27
MR;Vila Aurora;Vara 4;Banco Meridiano;51
SA;Porto Nobre;Vara 1;Banco Aurora;32
CV;Porto Nobre;Vara 5;Banco Meridiano;11
MR;Porto Nobre;Vara 1;Banco Solaris;29
VN;Santa Elis;Vara 6;Banco Aurora;11
PN;Porto Nobre;Vara 4;Banco Vantis;9
PN;Alto Rubro;Vara 3;Banco Aurora;46
TB;Porto Nobre;Vara 6;Banco Aurora;17
LS;Porto Nobre;Vara 6;Banco Solaris;8
SA;Lagoa Azul;Vara 4;Banco Vantis;13
MR;Porto Nobre;Vara 5;Banco Aurora;34
LS;Porto Nobre;Vara 3;Banco Vantis;5
VN;Porto Nobre;Vara 6;Crediluz;26
PN;Porto Nobre;Vara 3;Banco Aurora;8
BC;Porto Nobre;Vara 3;Norvel Crédito;13
TB;Serra Nova;Vara 3;Banco Meridiano;38
VN;Porto Nobre;Vara 5;Crediluz;90
VN;Porto Nobre;Vara 3;Banco Vantis;20
LS;Porto Nobre;Vara 5;Banco Aurora;6
SA;Porto Nobre;Vara 1;Banco Aurora;16
BC;Porto Nobre;Vara 4;Banco Meridiano;9
SA;Porto Nobre;Vara 5;Banco Vantis;10
CV;Porto Nobre;Vara 4;Banco Meridiano;12
PN;Porto Nobre;Vara 2;Banco Meridiano;9
LS;Monte Claro do Vale;Vara 1;Banco Aurora;13
LS;Porto Nobre;Vara 5;Crediluz;16
VN;Porto Nobre;Vara 6;Banco Meridiano;17
SD;Porto Nobre;Vara 3;Banco Meridiano;7
SA;Serra Nova;Vara 1;Banco Aurora;276
TB;Pedra Fria;Vara 5;Banco Aurora;14
MR;Porto Nobre;Vara 4;Crediluz;142
SA;Monte Claro do Vale;Vara 2;Banco Solaris;16
LS;Porto Nobre;Vara 4;Banco Solaris;10
VN;Serra Nova;Vara 4;Banco Solaris;7
SA;Porto Nobre;Vara 1;Norvel Crédito;18
VN;Barra Limpa;Vara 1;Crediluz;48
SA;Porto Nobre;Vara 1;Banco Aurora;8
SA;Porto Nobre;Vara 1;Banco Aurora;13
SA;Porto Nobre;Vara 4;Banco Vantis;6
CV;Monte Claro do Vale;Vara 4;Banco Aurora;17
SA;Porto Nobre;Vara 5;Banco Vantis;5
SA;Porto Nobre;Vara 5;Banco Aurora;15
TB;Porto Nobre;Vara 3;Banco Vantis;11
SA;Porto Nobre;Vara 4;Banco Aurora;17
CV;Porto Nobre;Vara 2;Banco Aurora;16
PN;Porto Nobre;Vara 6;Banco Aurora;32
LS;Porto Nobre;Vara 3;Banco Meridiano;10
SA;Pedra Fria;Vara 1;Banco Aurora;15
CV;Monte Claro do Vale;Vara 5;Crediluz;24
SA;Lagoa Azul;Vara 5;Banco Aurora;13
CV;Porto Nobre;Vara 2;Banco Vantis;9
SA;Porto Nobre;Vara 5;Banco Aurora;9
SD;Porto Nobre;Vara 6;Banco Aurora;8
VN;Serra Nova;Vara 2;Banco Vantis;14
IL;Porto Nobre;Vara 6;Banco Aurora;53
PN;Vila Aurora;Vara 4;Norvel Crédito;21
TB;Porto Nobre;Vara 1;Banco Aurora;41
PN;Porto Nobre;Vara 5;Banco Solaris;15
LS;Porto Nobre;Vara 5;Banco Aurora;6
PN;Santa Elis;Vara 6;Crediluz;21
PN;Barra Limpa;Vara 3;Norvel Crédito;49
SA;Porto Nobre;Vara 4;Banco Meridiano;17
VN;Porto Nobre;Vara 6;Banco Vantis;25
VN;Porto Nobre;Vara 6;Banco Vantis;403
PN;Porto Nobre;Vara 5;Banco Meridiano;8
LS;Pedra Fria;Vara 3;Banco Meridiano;14
LS;Lagoa Azul;Vara 6;Banco Aurora;12
VN;Porto Nobre;Vara 3;Banco Aurora;15
VN;Porto Nobre;Vara 6;Banco Aurora;16
SA;Porto Nobre;Vara 4;Banco Solaris;14
SA;Monte Claro do Vale;Vara 1;Crediluz;29
CV;Porto Nobre;Vara 5;Banco Meridiano;13
PN;Santa Elis;Vara 5;Banco Vantis;7
PN;Barra Limpa;Vara 3;Banco Meridiano;9
SA;Santa Elis;Vara 4;Banco Meridiano;38
TB;Porto Nobre;Vara 2;Banco Cordilheira;16
TB;Porto Nobre;Vara 2;Banco Aurora;33
CV;Porto Nobre;Vara 2;Banco Vantis;7
LS;Cruzeiro Novo;Vara 2;Banco Meridiano;7
IL;Porto Nobre;Vara 2;Banco Aurora;15
CV;Porto Nobre;Vara 5;Banco Meridiano;257
LS;Porto Nobre;Vara 5;Banco Meridiano;8
VN;Barra Limpa;Vara 6;Banco Meridiano;11
VN;Porto Nobre;Vara 2;Banco Solaris;10
TB;Alto Rubro;Vara 2;Banco Aurora;9
VN;Porto Nobre;Vara 1;Banco Aurora;11
VN;Pedra Fria;Vara 4;Banco Aurora;9
CV;Porto Nobre;Vara 4;Banco Vantis;21
VN;Porto Nobre;Vara 4;Crediluz;28
CV;Porto Nobre;Vara 3;Banco Aurora;15
MR;Barra Limpa;Vara 4;Banco Meridiano;188
SA;Alto Rubro;Vara 4;Banco Aurora;58
CV;Vila Aurora;Vara 1;Banco Aurora;20
SA;Porto Nobre;Vara 3;Banco Aurora;8
PN;Vila Aurora;Vara 3;Banco Meridiano;19
SD;Porto Nobre;Vara 5;Banco Solaris;8
VN;Vila Aurora;Vara 6;Banco Aurora;11
VN;Porto Nobre;Vara 5;Banco Aurora;10
VN;Cruzeiro Novo;Vara 2;Banco Aurora;14
SA;Porto Nobre;Vara 5;Banco Meridiano;11
SA;Pedra Fria;Vara 3;Banco Meridiano;30
IL;Porto Nobre;Vara 3;Banco Solaris;11
VN;Porto Nobre;Vara 2;Banco Aurora;6
VN;Alto Rubro;Vara 6;Banco Meridiano;13
MR;Porto Nobre;Vara 6;Banco Vantis;24
VN;Barra Limpa;Vara 1;Crediluz;23
VN;Porto Nobre;Vara 3;Banco Aurora;15
LS;Porto Nobre;Vara 3;Banco Aurora;9
LS;Barra Limpa;Vara 5;Banco Meridiano;10
CV;Porto Nobre;Vara 4;Banco Vantis;9
TB;Monte Claro do Vale;Vara 1;Banco Solaris;8
IL;Porto Nobre;Vara 3;Banco Vantis;12
LS;Porto Nobre;Vara 1;Banco Solaris;12
TB;Porto Nobre;Vara 3;Banco Vantis;11
SA;Monte Claro do Vale;Vara 1;Banco Aurora;12
SA;Porto Nobre;Vara 4;Banco Aurora;18
SA;Alto Rubro;Vara 2;Banco Aurora;60
LS;Porto Nobre;Vara 1;Banco Aurora;38
VN;Porto Nobre;Vara 1;Banco Aurora;15
VN;Porto Nobre;Vara 2;Banco Vantis;25
CV;Lagoa Azul;Vara 3;Banco Aurora;9
CV;Porto Nobre;Vara 5;Banco Aurora;38
CV;Porto Nobre;Vara 5;Banco Aurora;10
VN;Porto Nobre;Vara 4;Banco Meridiano;13
CV;Vila Aurora;Vara 4;Crediluz;24
MR;Porto Nobre;Vara 3;Norvel Crédito;36
BC;Porto Nobre;Vara 3;Banco Aurora;10
TB;Porto Nobre;Vara 1;Banco Vantis;7
VN;Alto Rubro;Vara 3;Banco Aurora;32
TB;Porto Nobre;Vara 4;Banco Solaris;14
VN;Pedra Fria;Vara 3;Banco Aurora;12
SD;Porto Nobre;Vara 1;Norvel Crédito;10
CV;Porto Nobre;Vara 6;Banco Solaris;199
CV;Porto Nobre;Vara 2;Banco Aurora;21
VN;Porto Nobre;Vara 5;Banco Aurora;13
SD;Porto Nobre;Vara 1;Banco Meridiano;10
VN;Porto Nobre;Vara 6;Banco Vantis;32
SA;Porto Nobre;Vara 5;Banco Meridiano;16
VN;Pedra Fria;Vara 2;Banco Vantis;21
LS;Porto Nobre;Vara 3;Banco Meridiano;6
LS;Porto Nobre;Vara 3;Banco Vantis;7
SA;Serra Nova;Vara 1;Banco Meridiano;18
CV;Cruzeiro Novo;Vara 2;Banco Meridiano;22
SA;Serra Nova;Vara 1;Banco Aurora;16
SA;Porto Nobre;Vara 6;Crediluz;16
SA;Porto Nobre;Vara 1;Banco Aurora;11
CV;Barra Limpa;Vara 2;Crediluz;100
VN;Porto Nobre;Vara 6;Banco Aurora;9
CV;Porto Nobre;Vara 5;Banco Meridiano;14
VN;Porto Nobre;Vara 2;Banco Meridiano;12
SA;Porto Nobre;Vara 1;Banco Meridiano;10
VN;Porto Nobre;Vara 3;Banco Aurora;6
SA;Barra Limpa;Vara 1;Crediluz;34
VN;Barra Limpa;Vara 2;Banco Solaris;9
MR;Lagoa Azul;Vara 4;Banco Aurora;58
CV;Porto Nobre;Vara 4;Banco Vantis;14
MR;Porto Nobre;Vara 6;Banco Meridiano;43
LS;Vila Aurora;Vara 2;Banco Aurora;11
SA;Porto Nobre;Vara 3;Banco Meridiano;39
TB;Barra Limpa;Vara 3;Banco Vantis;32
LS;Porto Nobre;Vara 2;Banco Aurora;12
CV;Porto Nobre;Vara 1;Banco Aurora;8
SA;Porto Nobre;Vara 5;Banco Vantis;8
PN;Porto Nobre;Vara 3;Banco Aurora;10
CV;Alto Rubro;Vara 2;Norvel Crédito;42
CV;Serra Nova;Vara 5;Banco Aurora;13
TB;Alto Rubro;Vara 5;Crediluz;19
PN;Santa Elis;Vara 6;Banco Vantis;12
BC;Porto Nobre;Vara 5;Banco Aurora;8
SA;Pedra Fria;Vara 5;Banco Cordilheira;18
CV;Alto Rubro;Vara 3;Banco Meridiano;11
IL;Porto Nobre;Vara 2;Banco Meridiano;15
CV;Porto Nobre;Vara 6;Banco Meridiano;20
VN;Porto Nobre;Vara 4;Banco Meridiano;17
SA;Lagoa Azul;Vara 5;Norvel Crédito;7
CV;Cruzeiro Novo;Vara 1;Banco Vantis;12
BC;Porto Nobre;Vara 5;Banco Meridiano;14
SA;Porto Nobre;Vara 4;Banco Solaris;12
VN;Pedra Fria;Vara 2;Banco Aurora;40
SA;Cruzeiro Novo;Vara 2;Banco Meridiano;10
IL;Porto Nobre;Vara 1;Banco Aurora;9
IL;Porto Nobre;Vara 3;Norvel Crédito;23
VN;Porto Nobre;Vara 6;Banco Vantis;19
VN;Porto Nobre;Vara 2;Banco Meridiano;7
MR;Porto Nobre;Vara 5;Norvel Crédito;132
SA;Porto Nobre;Vara 6;Crediluz;37
SD;Lagoa Azul;Vara 4;Banco Aurora;9
SA;Porto Nobre;Vara 5;Banco Meridiano;16
VN;Porto Nobre;Vara 6;Crediluz;13
PN;Porto Nobre;Vara 1;Crediluz;77
VN;Monte Claro do Vale;Vara 5;Crediluz;19
VN;Porto Nobre;Vara 6;Banco Aurora;8
LS;Porto Nobre;Vara 3;Banco Meridiano;8
SA;Alto Rubro;Vara 5;Banco Aurora;51
SD;Lagoa Azul;Vara 2;Crediluz;63
SA;Porto Nobre;Vara 1;Banco Vantis;7
VN;Lagoa Azul;Vara 3;Banco Aurora;8
CV;Porto Nobre;Vara 6;Banco Aurora;36
VN;Pedra Fria;Vara 5;Banco Solaris;6
MR;Porto Nobre;Vara 5;Banco Aurora;71
LS;Barra Limpa;Vara 1;Crediluz;25
SD;Porto Nobre;Vara 5;Banco Meridiano;7
SA;Porto Nobre;Vara 6;Banco Aurora;10
LS;Porto Nobre;Vara 3;Banco Aurora;12
SD;Porto Nobre;Vara 4;Banco Meridiano;7
CV;Porto Nobre;Vara 4;Banco Meridiano;15
MR;Porto Nobre;Vara 5;Crediluz;149
PN;Porto Nobre;Vara 6;Crediluz;35
VN;Porto Nobre;Vara 5;Crediluz;16
VN;Barra Limpa;Vara 5;Banco Meridiano;10
SA;Porto Nobre;Vara 4;Banco Vantis;11
SA;Porto Nobre;Vara 4;Norvel Crédito;13
CV;Alto Rubro;Vara 2;Banco Meridiano;17
SA;Porto Nobre;Vara 2;Banco Solaris;36
VN;Porto Nobre;Vara 5;Banco Aurora;13
VN;Porto Nobre;Vara 2;Banco Aurora;9
VN;Porto Nobre;Vara 4;Banco Meridiano;46
VN;Lagoa Azul;Vara 5;Banco Solaris;36
LS;Porto Nobre;Vara 3;Banco Aurora;7
VN;Porto Nobre;Vara 5;Banco Meridiano;40
TB;Porto Nobre;Vara 1;Norvel Crédito;38
CV;Porto Nobre;Vara 6;Banco Cordilheira;43
VN;Lagoa Azul;Vara 2;Banco Meridiano;10
TB;Porto Nobre;Vara 3;Banco Aurora;28
LS;Porto Nobre;Vara 1;Banco Meridiano;11
MR;Porto Nobre;Vara 2;Banco Aurora;31
PN;Barra Limpa;Vara 3;Banco Aurora;18
SA;Porto Nobre;Vara 6;Banco Aurora;13
PN;Cruzeiro Novo;Vara 5;Banco Meridiano;17
CV;Pedra Fria;Vara 2;Banco Solaris;16
VN;Serra Nova;Vara 4;Banco Meridiano;44
CV;Alto Rubro;Vara 4;Banco Aurora;14
BC;Porto Nobre;Vara 6;Banco Meridiano;13
CV;Porto Nobre;Vara 6;Banco Meridiano;17
CV;Porto Nobre;Vara 4;Banco Meridiano;44
PN;Lagoa Azul;Vara 3;Banco Meridiano;27
SA;Monte Claro do Vale;Vara 4;Crediluz;21
VN;Serra Nova;Vara 4;Banco Aurora;14
LS;Porto Nobre;Vara 4;Banco Aurora;11
SA;Porto Nobre;Vara 6;Banco Aurora;15
CV;Serra Nova;Vara 1;Crediluz;42
VN;Barra Limpa;Vara 5;Banco Meridiano;7
VN;Porto Nobre;Vara 1;Banco Aurora;12
MR;Porto Nobre;Vara 4;Banco Aurora;36
VN;Porto Nobre;Vara 4;Banco Meridiano;7
VN;Porto Nobre;Vara 3;Banco Vantis;13
PN;Porto Nobre;Vara 2;Banco Aurora;18
SA;Porto Nobre;Vara 5;Banco Aurora;14
LS;Lagoa Azul;Vara 5;Banco Meridiano;11
LS;Porto Nobre;Vara 4;Crediluz;26
TB;Cruzeiro Novo;Vara 2;Banco Meridiano;14
LS;Porto Nobre;Vara 4;Banco Aurora;13
SA;Porto Nobre;Vara 6;Banco Solaris;15
IL;Porto Nobre;Vara 5;Banco Meridiano;16
LS;Serra Nova;Vara 5;Banco Meridiano;10
SD;Porto Nobre;Vara 6;Banco Aurora;16
SA;Vila Aurora;Vara 1;Crediluz;30
LS;Porto Nobre;Vara 4;Banco Aurora;13
VN;Cruzeiro Novo;Vara 3;Banco Vantis;32
SA;Porto Nobre;Vara 1;Banco Aurora;13
PN;Porto Nobre;Vara 6;Banco Meridiano;11
CV;Porto Nobre;Vara 5;Banco Solaris;14
SA;Porto Nobre;Vara 3;Banco Aurora;13
SA;Monte Claro do Vale;Vara 6;Banco Aurora;9
SA;Porto Nobre;Vara 3;Banco Aurora;17
SA;Porto Nobre;Vara 5;Crediluz;32
VN;Porto Nobre;Vara 3;Banco Vantis;19
TB;Porto Nobre;Vara 5;Crediluz;15
LS;Porto Nobre;Vara 5;Banco Solaris;11
VN;Monte Claro do Vale;Vara 5;Banco Aurora;7
SA;Porto Nobre;Vara 2;Crediluz;24
CV;Cruzeiro Novo;Vara 1;Crediluz;26
TB;Porto Nobre;Vara 1;Banco Aurora;10
CV;Porto Nobre;Vara 6;Crediluz;114
CV;Porto Nobre;Vara 5;Banco Meridiano;271
LS;Vila Aurora;Vara 3;Banco Vantis;8
LS;Porto Nobre;Vara 5;Banco Solaris;13
TB;Porto Nobre;Vara 2;Banco Meridiano;27
VN;Vila Aurora;Vara 5;Norvel Crédito;9
SA;Monte Claro do Vale;Vara 2;Banco Meridiano;16
SA;Porto Nobre;Vara 5;Banco Meridiano;19
VN;Porto Nobre;Vara 4;Crediluz;27
VN;Vila Aurora;Vara 1;Banco Aurora;14
TB;Alto Rubro;Vara 6;Banco Vantis;13
SA;Monte Claro do Vale;Vara 2;Banco Aurora;8
SA;Porto Nobre;Vara 3;Banco Meridiano;9
VN;Porto Nobre;Vara 3;Banco Aurora;26
CV;Porto Nobre;Vara 1;Banco Vantis;103
CV;Alto Rubro;Vara 1;Banco Vantis;7
PN;Porto Nobre;Vara 4;Banco Cordilheira;11
SA;Porto Nobre;Vara 6;Banco Aurora;7
VN;Barra Limpa;Vara 2;Banco Aurora;40
SA;Alto Rubro;Vara 2;Banco Solaris;25
BC;Porto Nobre;Vara 5;Crediluz;28
IL;Lagoa Azul;Vara 2;Banco Vantis;8
MR;Serra Nova;Vara 3;Banco Aurora;29
VN;Porto Nobre;Vara 2;Banco Meridiano;34
VN;Cruzeiro Novo;Vara 4;Banco Meridiano;30
SA;Porto Nobre;Vara 6;Banco Meridiano;18
BC;Porto Nobre;Vara 2;Banco Aurora;9
CV;Porto Nobre;Vara 2;Banco Meridiano;22
PN;Santa Elis;Vara 6;Banco Vantis;10
CV;Porto Nobre;Vara 1;Banco Aurora;20
LS;Porto Nobre;Vara 5;Banco Meridiano;193
SA;Porto Nobre;Vara 5;Banco Aurora;47
VN;Lagoa Azul;Vara 3;Crediluz;333
SA;Porto Nobre;Vara 3;Crediluz;28
VN;Porto Nobre;Vara 5;Banco Aurora;8
CV;Cruzeiro Novo;Vara 6;Banco Aurora;52
MR;Serra Nova;Vara 4;Banco Solaris;32
SA;Porto Nobre;Vara 2;Banco Solaris;12
TB;Porto Nobre;Vara 5;Norvel Crédito;8
SA;Porto Nobre;Vara 5;Banco Aurora;11
IL;Cruzeiro Novo;Vara 5;Banco Aurora;10
VN;Porto Nobre;Vara 5;Banco Aurora;14
TB;Alto Rubro;Vara 5;Banco Meridiano;13
BC;Porto Nobre;Vara 3;Norvel Crédito;6
SA;Vila Aurora;Vara 3;Banco Cordilheira;38
SA;Porto Nobre;Vara 5;Crediluz;14
VN;Porto Nobre;Vara 2;Banco Meridiano;14
VN;Pedra Fria;Vara 5;Banco Aurora;7
SA;Barra Limpa;Vara 4;Banco Meridiano;14
VN;Santa Elis;Vara 3;Banco Vantis;143
SA;Monte Claro do Vale;Vara 2;Crediluz;552
LS;Porto Nobre;Vara 5;Banco Aurora;10
PN;Serra Nova;Vara 3;Crediluz;64
LS;Monte Claro do Vale;Vara 3;Banco Vantis;10
CV;Pedra Fria;Vara 4;Banco Solaris;36
SA;Porto Nobre;Vara 6;Banco Aurora;47
PN;Alto Rubro;Vara 3;Banco Vantis;12
SA;Porto Nobre;Vara 2;Banco Meridiano;14
VN;Porto Nobre;Vara 4;Banco Meridiano;17
VN;Cruzeiro Novo;Vara 4;Banco Meridiano;10
SA;Porto Nobre;Vara 6;Banco Aurora;7
VN;Pedra Fria;Vara 3;Crediluz;15
PN;Porto Nobre;Vara 2;Crediluz;34
VN;Porto Nobre;Vara 4;Banco Meridiano;9
PN;Cruzeiro Novo;Vara 3;Banco Aurora;14
PN;Porto Nobre;Vara 2;Banco Aurora;12
CV;Porto Nobre;Vara 6;Banco Aurora;16
SA;Cruzeiro Novo;Vara 5;Banco Aurora;43
SA;Monte Claro do Vale;Vara 1;Banco Vantis;10
IL;Porto Nobre;Vara 4;Banco Aurora;52
PN;Porto Nobre;Vara 4;Crediluz;20
LS;Vila Aurora;Vara 6;Norvel Crédito;8
MR;Porto Nobre;Vara 1;Banco Aurora;64
VN;Porto Nobre;Vara 3;Banco Vantis;23
SA;Porto Nobre;Vara 3;Crediluz;341
CV;Porto Nobre;Vara 3;Banco Aurora;14
LS;Vila Aurora;Vara 4;Banco Meridiano;7
BC;Vila Aurora;Vara 6;Banco Aurora;7
VN;Cruzeiro Novo;Vara 1;Banco Aurora;15
TB;Alto Rubro;Vara 5;Banco Aurora;14
TB;Porto Nobre;Vara 4;Norvel Crédito;45
VN;Lagoa Azul;Vara 6;Banco Aurora;15
VN;Porto Nobre;Vara 1;Banco Solaris;8
MR;Porto Nobre;Vara 1;Banco Vantis;48
VN;Serra Nova;Vara 3;Banco Meridiano;24
LS;Porto Nobre;Vara 5;Crediluz;23
IL;Vila Aurora;Vara 3;Banco Aurora;20
CV;Vila Aurora;Vara 6;Banco Meridiano;15
PN;Porto Nobre;Vara 5;Banco Meridiano;20
SA;Barra Limpa;Vara 4;Banco Meridiano;10
LS;Pedra Fria;Vara 2;Banco Aurora;34
SA;Porto Nobre;Vara 4;Banco Vantis;6
SD;Santa Elis;Vara 1;Banco Aurora;16
PN;Porto Nobre;Vara 1;Banco Meridiano;9
MR;Lagoa Azul;Vara 1;Banco Aurora;38
LS;Porto Nobre;Vara 4;Banco Vantis;10
LS;Barra Limpa;Vara 5;Crediluz;55
MR;Cruzeiro Novo;Vara 1;Banco Aurora;63
LS;Porto Nobre;Vara 1;Norvel Crédito;16
SA;Alto Rubro;Vara 6;Banco Aurora;26
TB;Porto Nobre;Vara 6;Banco Aurora;17
SA;Porto Nobre;Vara 2;Banco Aurora;11
TB;Porto Nobre;Vara 2;Banco Vantis;29
IL;Porto Nobre;Vara 3;Banco Aurora;34
PN;Vila Aurora;Vara 4;Banco Meridiano;14
LS;Santa Elis;Vara 3;Banco Meridiano;15
IL;Porto Nobre;Vara 4;Crediluz;22
CV;Porto Nobre;Vara 3;Banco Aurora;12
LS;Santa Elis;Vara 2;Crediluz;21
SA;Porto Nobre;Vara 3;Banco Aurora;7
LS;Porto Nobre;Vara 2;Banco Meridiano;7
PN;Pedra Fria;Vara 2;Banco Aurora;7
CV;Vila Aurora;Vara 2;Crediluz;32
TB;Porto Nobre;Vara 4;Banco Solaris;6
SD;Porto Nobre;Vara 4;Banco Meridiano;14
SA;Pedra Fria;Vara 2;Banco Solaris;28
VN;Porto Nobre;Vara 6;Banco Meridiano;16
CV;Porto Nobre;Vara 2;Banco Aurora;11
MR;Pedra Fria;Vara 6;Banco Aurora;71
CV;Porto Nobre;Vara 5;Banco Aurora;18
SA;Santa Elis;Vara 4;Banco Aurora;32
VN;Porto Nobre;Vara 6;Banco Meridiano;10
SA;Santa Elis;Vara 6;Banco Aurora;12
SA;Porto Nobre;Vara 5;Banco Vantis;12
LS;Porto Nobre;Vara 1;Banco Vantis;24
CV;Porto Nobre;Vara 2;Banco Aurora;10
VN;Cruzeiro Novo;Vara 4;Banco Aurora;9
TB;Porto Nobre;Vara 5;Banco Vantis;8
VN;Porto Nobre;Vara 2;Banco Aurora;32
SA;Barra Limpa;Vara 5;Banco Aurora;13
SD;Porto Nobre;Vara 6;Banco Aurora;11
SA;Pedra Fria;Vara 5;Norvel Crédito;8
SA;Porto Nobre;Vara 5;Banco Aurora;120
LS;Porto Nobre;Vara 4;Crediluz;59
SA;Cruzeiro Novo;Vara 3;Crediluz;30
SA;Alto Rubro;Vara 1;Norvel Crédito;35
SA;Monte Claro do Vale;Vara 5;Banco Meridiano;10
MR;Santa Elis;Vara 3;Banco Vantis;32
